Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
610000,0.7961586,336.2,0.59016705,2.026666804154714,2.026666804154714,0.0048909755,0.049228773,9.396451e-06,1.0
620000,0.81984055,333.3333333333333,0.5744501,2.1133334755897524,2.1133334755897524,0.00585259,0.04751322,9.385535e-06,1.0
630000,0.80887425,399.8,0.64121187,1.9360001373291016,1.9360001373291016,0.008652867,0.051012967,9.375017e-06,1.0
640000,0.77164596,354.35714285714283,0.6326062,2.0892858675548007,2.0892858675548007,0.007870845,0.049519747,9.36468e-06,1.0
650000,0.75807244,355.5357142857143,0.62545127,2.064285857336862,2.064285857336862,0.0069217663,0.045860637,9.354309e-06,1.0
660000,0.71853024,360.92857142857144,0.5683908,2.0214286851031438,2.0214286851031438,0.008939632,0.045931168,9.345751e-06,1.0
670000,0.6637773,352.5357142857143,0.58687353,2.103571598018919,2.103571598018919,0.0065997206,0.046203177,9.335091e-06,1.0
680000,0.5689672,337.8333333333333,0.6458256,2.07000013589859,2.07000013589859,0.0042104563,0.04578212,9.324242e-06,1.0
690000,0.6243469,379.84615384615387,0.6544619,2.003846273972438,2.003846273972438,0.0060390476,0.045647554,9.315492e-06,1.0
700000,0.5967239,334.03333333333336,0.62558705,2.173333501815796,2.173333501815796,0.0064722733,0.049312264,9.304765e-06,1.0
