Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Environment/Episode Length
126000,1.3605119,-0.24795434,-1.6529241,0.0,1398.0
127400,1.3610831,-0.1181866,-1.697856,0.0,1398.0
128800,1.361189,-0.2156991,-1.6570654,0.0,1398.0
130200,1.3650249,-0.12140447,-1.7038662,0.0,1398.0
131600,1.3654269,-0.21777438,-1.677926,0.0,1398.0
133000,1.3654907,-0.21764842,-1.6654129,0.0,1398.0
134400,1.3676932,-0.40406322,-1.6417558,0.0,1398.0
135800,1.3681481,-0.36780566,-1.6476748,0.0,1398.0
137200,1.3677713,-0.07274635,-1.6829346,0.0,1398.0
138600,1.3787992,-0.032665275,-1.6932554,0.0,1398.0
140000,1.3790197,-0.027932584,-1.6764152,0.0,1398.0
141400,1.3790443,-0.016132593,-1.6742222,0.0,1398.0
142800,1.3814061,-0.060680542,-1.7409452,1.0056999805674423,1125.5
144200,1.3814845,-0.0799157,-1.5870869,0.0,1398.0
145600,1.3814889,0.03008283,-1.6833105,2.023599961772561,993.0
147000,1.3820837,0.089367375,-1.6414738,0.0,1398.0
148400,1.3821049,-0.017056806,-1.6976581,0.0,1398.0
149800,1.3820812,0.12271472,-2.023837,2.012399961160554,960.0
151200,1.3800994,0.07755761,-1.6618996,0.0,1398.0
152600,1.3771071,0.06349974,-1.7823969,2.0014000331575517,966.0
154000,1.3769238,-0.0019628108,-1.6829422,0.0,1398.0
155400,1.3775522,0.086687274,-1.7559721,0.0,1398.0
156800,1.3784525,0.04030047,-1.7832718,0.0,1398.0
158200,1.3784504,0.0240313,-1.7712004,0.0,1398.0
159600,1.3774556,0.06521017,-1.8031495,0.0,1398.0
161000,1.3764608,-0.0723875,-1.7505848,0.0,1398.0
162400,1.3764657,-0.07057005,-1.7613006,0.0,1398.0
163800,1.3774136,-0.08691119,-1.7458017,0.0,1398.0
165200,1.3778023,0.03388611,-1.9898968,0.0,1398.0
166600,1.377896,0.0046911193,-1.945055,0.0,1398.0
168000,1.3768742,0.07171716,-2.0767007,0.0,1398.0
169400,1.3767116,0.14077927,-2.1666157,0.0,1398.0
170800,1.3770034,-0.10059641,-1.9485762,0.0,1398.0
172200,1.3774282,0.08115086,-2.070737,0.0,1398.0
173600,1.3784279,-0.011041887,-2.0276177,0.0,1398.0
175000,1.378343,-0.0030438257,-2.037753,0.0,1398.0
176400,1.3794292,0.09893502,-2.0999568,0.0,1398.0
177800,1.3816254,0.20032871,-2.1057658,0.0,1398.0
179200,1.3816353,0.18461785,-2.0760448,0.0,1398.0
180600,1.3816235,0.18093747,-2.100679,0.0,1398.0
182000,1.381725,0.21043421,-2.0482304,0.0,1398.0
183400,1.3817102,0.23575528,-2.1727989,0.0,1398.0
184800,1.3810774,0.19355318,-2.6222904,2.0014000331575517,1342.0
186200,1.3807232,0.22595176,-2.2947693,2.0014000331575517,1234.0
187600,1.3806752,0.13567327,-2.0532036,0.0,1398.0
189000,1.3805921,0.2719146,-2.086152,0.0,1398.0
190400,1.3808911,0.30919027,-2.1159496,0.0,1398.0
191800,1.3806309,0.27042818,-2.1662006,2.018400034008664,1232.0
193200,1.3807772,0.32269594,-2.116488,0.0,1398.0
194600,1.379693,0.23327704,-2.171239,1.0056999805601663,1230.5
196000,1.3800869,0.28845567,-2.166686,0.0,1398.0
197400,1.3785995,0.28306246,-2.0694096,2.018400034008664,1307.0
198800,1.3809973,0.21937172,-2.3146951,0.0,1398.0
200200,1.3809599,0.22875679,-2.1499972,2.0014000331575517,1228.0
201600,1.3809077,0.1622418,-2.0767655,0.0,1398.0
203000,1.381059,0.18570405,-1.7540298,0.0,1398.0
204400,1.3809378,0.1188989,-1.7098358,0.0,1398.0
205800,1.3810209,0.12505183,-1.7276449,0.0,1398.0
207200,1.3791615,0.12635034,-1.74494,0.0,1398.0
208600,1.3768756,0.032891,-1.5309956,0.0,1398.0
210000,1.3769628,0.07766253,-1.7836376,0.0,1398.0
