Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
220000,1.3400588,2.005413332846365,674.8,1.2033457,2.005413309733073,0.0023683058,0.11397535,9.784878e-06
230000,1.3326496,2.0051764783343327,604.2352941176471,1.086205,2.0043294149286606,0.003886625,0.11380035,9.774197e-06
240000,1.3301537,2.0026400187130395,634.0,0.91174626,2.0031866868336996,0.0059176437,0.116340965,9.765378e-06
250000,1.3242813,1.7901142950036697,740.5714285714286,0.6428517,1.790557141814913,0.008377992,0.09809726,9.756666e-06
260000,1.3218354,2.0016000286341296,620.3125,0.32366902,2.0016000270843506,0.008322731,0.11108019,9.744853e-06
270000,1.3148062,2.00228573712749,705.7857142857143,0.15895785,2.001785704067775,0.006806423,0.1088765,9.7338125e-06
280000,1.3120066,2.001666690167622,652.0,-0.040083226,2.0019999980926513,0.008784818,0.11741868,9.724548e-06
290000,1.3045441,2.001813361678311,683.3333333333334,-0.23256955,2.0019466718037924,0.009681987,0.117433384,9.715637e-06
300000,1.3034059,2.0021764995189564,594.6470588235294,-0.060602028,2.0021764951593735,0.010819612,0.105355665,9.706221e-06
310000,1.2579848,2.0022316045130872,528.0526315789474,0.3140317,2.0022315853520443,0.006394269,0.10680589,9.6951335e-06
320000,1.2447158,2.0015666917736072,545.2222222222222,0.5105681,2.00156667497423,0.003335955,0.116419144,9.683654e-06
330000,1.2402791,2.0019100186771537,480.05,0.6918901,2.0019100189208983,0.003428571,0.10435634,9.674928e-06
340000,1.2623798,2.001747849802284,448.04347826086956,0.80159646,2.0017478258713433,0.0028631222,0.115128264,9.6662625e-06
350000,1.2814486,2.0017047847158254,470.42857142857144,0.9120665,2.00170476096017,0.003349434,0.109706976,9.655508e-06
360000,1.2960266,2.002200017928293,521.6315789473684,0.9805015,2.0018526252947355,0.00379792,0.11529228,9.645046e-06
370000,1.307752,2.002533352734948,473.42857142857144,1.1453452,2.0028476147424605,0.0040503754,0.115172386,9.634622e-06
380000,1.3182958,2.002070018686209,499.8,1.0763736,2.0019699811935423,0.0041396525,0.119314685,9.6240365e-06
390000,1.2996218,2.0021904990266886,478.5238095238095,1.0343139,2.0022856962113154,0.0031106435,0.11502336,9.615397e-06
400000,1.2849401,2.002000016704022,458.40909090909093,0.8847199,2.0020000392740425,0.0024416044,0.1041373,9.60478e-06
410000,1.2746938,2.001600026260435,464.3809523809524,0.574954,2.0015047504788352,0.0024863728,0.11243803,9.594066e-06
420000,1.2547684,2.0014833634728952,421.75,0.39997068,2.0015666584173837,0.0031626755,0.10009499,9.585412e-06
430000,1.2354143,2.0014000331575517,426.5833333333333,0.1913179,2.0014000038305917,0.004859228,0.104087286,9.57449e-06
440000,1.2207747,2.0014000331575517,429.5217391304348,-0.044484306,2.001400035360585,0.0062766243,0.110817835,9.563592e-06
450000,1.2426062,2.0014000331575517,444.6818181818182,-0.22587642,2.001400037245317,0.0063311686,0.09630165,9.555057e-06
460000,1.2127368,2.0014000331575517,449.72727272727275,-0.30736965,2.001400037245317,0.0074562905,0.10282713,9.5461455e-06
470000,1.1892788,2.0014000331575517,423.125,-0.5414254,2.0014000236988068,0.011051655,0.10924979,9.5351415e-06
480000,1.2103146,2.0014833634728952,419.875,-0.72944623,2.0014833509922028,0.012297902,0.11563187,9.524239e-06
490000,1.2044709,2.0014000331575517,429.30434782608694,-0.8575151,2.001400035360585,0.0152416825,0.095505476,9.515768e-06
500000,1.2167522,2.001495267804352,466.6666666666667,-0.97512954,2.001495281855265,0.017523209,0.11332774,9.505045e-06
510000,1.1983176,2.0014000331575517,416.4166666666667,-0.9335389,2.0014000137646994,0.017471658,0.10748518,9.494556e-06
520000,1.1744889,2.0014000331575517,391.88461538461536,-1.0499434,2.001400012236375,0.016821962,0.10379537,9.486133e-06
530000,1.202904,2.001445484408495,452.90909090909093,-1.058305,2.0014454668218438,0.020179218,0.11147996,9.47532e-06
540000,1.1654958,2.0014000331575517,427.69565217391306,-1.0629116,2.00140002499456,0.0183683,0.107054785,9.46464e-06
550000,1.1640892,2.00144350826715,429.60869565217394,-0.98902434,2.0014434793721074,0.019011775,0.10892181,9.456007e-06
560000,1.1174309,2.0014000331575517,423.8333333333333,-0.76559305,2.0014000236988068,0.016847687,0.10769003,9.445414e-06
570000,1.0540385,2.0014000331575517,413.5416666666667,-0.60047174,2.001400043567022,0.016545298,0.10972975,9.434592e-06
580000,1.0713171,2.0014000331575517,416.5416666666667,-0.36013234,2.0014000137646994,0.01388376,0.112006485,9.425903e-06
590000,1.0578021,2.0014000331575517,432.1304347826087,-0.032419976,2.0014000042625097,0.0116143,0.11379481,9.415025e-06
600000,1.087237,2.0014000331575517,417.8333333333333,0.260551,2.0014000137646994,0.009811027,0.11248581,9.404394e-06
610000,1.150231,2.0014000331575517,458.90909090909093,0.53605497,2.001400026408109,0.00902083,0.11930722,9.395842e-06
620000,1.1349814,2.0014000331575517,445.27272727272725,0.56444585,2.0014000047336924,0.008154579,0.1104831,9.384789e-06
630000,1.1397084,2.0014000331575517,430.95652173913044,0.59879357,2.00140002499456,0.005721427,0.10933148,9.374437e-06
