Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
17000,2.0102942,-0.23338532,-1.3679999560117722,370.5,-1.168500006198883
17500,1.9917172,-0.25709224,None,None,-1.5674999952316284
18000,1.9873363,-0.25271216,-1.5959999486804008,439.5,-1.8904999047517776
18500,1.9912399,-0.25285923,-1.3774999557062984,425.0,-1.3394999206066132
19000,1.9833032,-0.24886659,-1.5674999495968223,421.0,-1.5674998760223389
19500,1.9577235,-0.25721392,-1.2302499604411423,361.5,-1.2539999186992645
20000,1.9609902,-0.25235915,-1.3489999566227198,408.0,-1.277749940752983
20500,1.9616123,-0.26256055,-1.0829999651759863,352.0,-1.0830000638961792
21000,1.965163,-0.25955623,-1.2539999596774578,397.0,-1.0164999067783356
21500,1.9398465,-0.25749046,-1.1114999642595649,361.0,-1.4914999604225159
22000,1.9414245,-0.26096907,None,None,-1.1114999949932098
22500,1.9412658,-0.2576337,-1.5152499512769282,479.5,-1.5152500048279762
23000,1.9410354,-0.25650036,-0.9309999700635672,283.0,-0.9309999942779541
23500,1.9082446,-0.26395762,-1.2539999596774578,429.0,-1.253999948501587
24000,1.8982371,-0.27403215,-1.3774999557062984,504.0,-1.3774999110028148
24500,1.8973647,-0.26134065,-1.405999954789877,508.0,-1.4059999696910381
25000,1.9013108,-0.27195412,-1.9854999361559749,698.0,-1.9854999780654907
25500,1.8717101,-0.2687168,-1.500999951735139,551.0,-1.501000002026558
26000,1.8463644,-0.27463338,-1.3299999572336674,522.0,-1.3299999758601189
26500,1.8474115,-0.27054277,-1.1304999636486173,509.0,-1.1305000111460686
27000,1.8515353,-0.28009835,-1.1114999642595649,421.0,-1.1114999651908875
27500,1.8502543,-0.2770074,-1.0069999676197767,368.0,-1.0069999694824219
28000,1.8053746,-0.27807975,-0.7884999746456742,350.0,-0.7884999513626099
28500,1.8105052,-0.28114736,-1.4154999544844031,629.0,-1.4154999554157257
29000,1.8098304,-0.2736459,-0.7837499747984111,371.5,-0.5605000108480453
29500,1.816112,-0.27396235,-0.7599999755620956,319.0,-0.88349998742342
30000,1.7656946,-0.2684431,-1.063999965786934,469.0,-1.063999980688095
30500,1.7639496,-0.267538,-1.0259999670088291,448.0,-1.0259999632835388
31000,1.7633536,-0.27382395,-0.7362499763257802,386.5,-0.9784999936819077
31500,1.7658304,-0.26598948,None,None,-0.49399998784065247
32000,1.7321212,-0.2641505,-1.3014999581500888,594.0,-1.301499992609024
32500,1.7266862,-0.26267424,-1.1114999642595649,510.0,-1.1114999111741781
33000,1.7284642,-0.25240153,-1.0449999663978815,595.0,-1.0449999421834946
33500,1.7268648,-0.25455165,-1.1019999645650387,569.0,-1.1019999831914902
34000,1.7127782,-0.25713074,-0.9689999688416719,522.0,-0.9690000005066395
34500,1.692797,-0.25364634,-0.7504999758675694,487.0,-0.750499963760376
35000,1.6937857,-0.25130764,-0.9689999688416719,510.0,-0.9689999632537365
35500,1.6934804,-0.24757226,-0.5224999831989408,317.0,-0.5224999785423279
36000,1.6815968,-0.2514006,-0.9072499708272517,511.5,-1.0924999713897705
36500,1.6619045,-0.2582401,-0.778999974951148,433.0,-0.7219999730587006
37000,1.657322,-0.249437,None,None,-0.7789999544620514
37500,1.6601881,-0.2522069,-0.9784999685361981,701.0,-0.9785000085830688
38000,1.6612122,-0.22914517,-0.87399997189641,536.0,-0.8739999681711197
38500,1.6403958,-0.23550327,-0.8929999712854624,547.0,-0.8929999768733978
39000,1.6412573,-0.23573482,-0.826499973423779,508.0,-0.826499979943037
39500,1.6377984,-0.2350229,-0.5937499809078872,364.0,-0.7409999668598175
40000,1.6360697,-0.24621922,None,None,-0.4464999735355377
40500,1.612239,-0.25028974,-0.778999974951148,556.0,-0.7789999768137932
41000,1.612169,-0.24190241,-0.7979999743402004,514.0,-0.7979999557137489
41500,1.6168163,-0.2510178,-0.9119999706745148,688.0,-0.9119999408721924
42000,1.6063751,-0.2364649,-0.9119999706745148,660.0,None
