Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
435000,6213.6465,1.3174417e-05,None,None,None
437500,6227.9346,1.3174416e-05,-1.0,2054.0,-1.0
440000,6223.2573,1.3174416e-05,-1.0,2097.25,-1.0
442500,6229.2646,1.31744155e-05,None,None,None
445000,6222.1035,1.3174417e-05,None,None,None
447500,6221.6494,1.3174416e-05,-1.0,2071.0,-1.0
450000,6226.1895,1.3174416e-05,-1.0,2108.0,-1.0
452500,6221.368,1.31744155e-05,-1.0,2089.0,-1.0
455000,6210.8374,1.3174417e-05,None,None,None
457500,6226.8735,1.3174416e-05,-1.0,2092.0,-1.0
460000,6223.3115,1.3174416e-05,-1.0,2111.3333333333335,-1.0
462500,6220.919,1.31744155e-05,-1.0,2068.0,-1.0
465000,6225.5625,1.3174417e-05,None,None,None
467500,6218.42,1.3174419e-05,None,None,None
470000,6222.091,1.31744155e-05,-1.0,2070.0,-1.0
472500,6223.7676,1.3174416e-05,-1.0,2096.5,-1.0
475000,6229.3896,1.31744155e-05,-1.0,2051.0,-1.0
477500,6218.5254,1.3174417e-05,None,None,None
480000,6224.128,1.3174416e-05,-1.0,2079.0,-1.0
482500,6222.34,1.3174416e-05,-1.0,2072.0,-1.0
485000,6218.183,None,None,None,None
487500,6221.5786,1.3174416e-05,-1.0,2048.0,-1.0
490000,6223.125,1.3174416e-05,-1.0,2085.0,-1.0
492500,6223.5195,1.31744155e-05,-1.0,2088.0,-1.0
495000,6228.7383,1.3174416e-05,-1.0,2068.0,-1.0
497500,6223.854,1.3174416e-05,None,None,None
500000,6226.931,1.31744155e-05,-1.0,2071.5,-1.0
502500,6218.6094,1.3174416e-05,-1.0,2074.5,-1.0
505000,6219.8867,1.31744155e-05,-1.0,2082.0,-1.0
507500,6217.999,1.3174417e-05,None,None,None
510000,6221.4307,1.3174417e-05,None,None,None
512500,6230.386,1.3174417e-05,None,None,None
515000,6223.9717,1.3174416e-05,-1.0,2088.0,-1.0
517500,6222.6514,1.31744155e-05,None,None,None
520000,6225.61,1.3174417e-05,-1.0,2081.0,-1.0
522500,6214.083,1.3174416e-05,-1.0,2112.0,-1.0
525000,6223.1504,1.3174416e-05,-1.0,2078.0,-1.0
527500,6218.8657,1.3174416e-05,-1.0,2078.0,-1.0
530000,6217.6807,1.3174416e-05,None,None,None
532500,6227.713,1.3174415e-05,-1.0,2064.0,-1.0
535000,6222.4824,1.3174417e-05,-1.0,2113.6666666666665,-1.0
537500,6228.1035,1.3174416e-05,-1.0,2092.0,-1.0
540000,6224.905,1.3174415e-05,-1.0,2084.5,-1.0
542500,6218.9473,1.3174416e-05,-1.0,2081.0,-1.0
545000,6221.79,1.3174416e-05,-1.0,2058.0,-1.0
547500,6220.624,1.3174416e-05,-1.0,2068.0,-1.0
550000,6220.8438,1.3174416e-05,None,None,None
552500,6223.9185,1.31744155e-05,-1.0,2092.0,-1.0
555000,6222.1484,1.3174416e-05,-1.0,2083.25,-1.0
557500,6227.456,1.3174416e-05,None,None,-1.0
560000,6225.9165,1.3174416e-05,-1.0,2055.0,-1.0
562500,6225.138,1.3174416e-05,-1.0,2072.0,-1.0
565000,6218.297,1.3174416e-05,-1.0,2078.0,-1.0
567500,6219.592,1.3174416e-05,-1.0,2104.0,-1.0
570000,6224.0337,1.3174416e-05,-1.0,2061.0,-1.0
572500,6228.659,None,None,None,None
575000,6219.839,1.3174416e-05,-1.0,2078.0,-1.0
577500,6222.9785,1.3174416e-05,-1.0,2089.5,-1.0
580000,6228.227,1.3174416e-05,-1.0,2111.0,-1.0
582500,6225.128,1.3174416e-05,-1.0,2084.0,-1.0
585000,6216.237,1.3174416e-05,-1.0,2048.0,-1.0
587500,6222.805,1.3174416e-05,-1.0,2075.0,-1.0
590000,6219.893,1.31744155e-05,-1.0,2090.0,-1.0
592500,6221.1904,1.31744155e-05,None,None,-1.0
595000,6229.7573,1.3174416e-05,None,None,None
597500,6223.5796,1.3174416e-05,-1.0,2096.5,-1.0
600000,6222.1997,1.3174416e-05,-1.0,2088.0,-1.0
602500,6227.6577,1.3174416e-05,-1.0,2102.0,-1.0
605000,6219.7275,1.3174416e-05,-1.0,2077.3333333333335,-1.0
607500,6221.8916,1.3174416e-05,None,None,-1.0
610000,6220.915,1.3174416e-05,-1.0,2065.0,-1.0
612500,6223.199,1.31744155e-05,-1.0,2088.0,-1.0
615000,6230.5967,1.3174417e-05,None,None,None
617500,6223.1924,1.3174416e-05,-1.0,2082.0,-1.0
620000,6224.1396,1.3174415e-05,None,None,None
622500,6226.1294,1.3174416e-05,-1.0,2116.0,-1.0
625000,6211.9014,1.3174416e-05,None,None,None
627500,6221.7827,1.3174416e-05,-1.0,2090.0,-1.0
630000,6220.7344,1.3174416e-05,-1.0,2096.0,-1.0
632500,6223.867,1.31744155e-05,-1.0,2058.0,-1.0
635000,6216.457,None,None,None,None
637500,6218.8066,1.3174417e-05,None,None,None
