Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Environment/Episode Length
58800,1.3858404,0.15644884,6.6465693,2.0203999616205692,1222.0
60200,1.3858905,0.15830186,6.6766205,2.017399961478077,1079.0
61600,1.3835735,0.17057605,6.5893164,2.021399961595307,1268.0
63000,1.3824555,0.16565518,7.212199,0.0,1398.0
64400,1.3824565,0.12453425,7.128783,2.0063999608973972,998.5
65800,1.3823233,0.11086979,7.2212887,2.0174000339902705,885.0
67200,1.3820409,0.1268454,7.381761,2.015399997573695,1027.0
68600,1.3820994,0.14775164,7.4025884,2.0073999971864396,813.5
70000,1.3816018,0.1272892,7.3557606,2.010399961087387,729.0
71400,1.3803916,0.21795855,7.377409,0.0,1398.0
72800,1.3801614,0.14706539,7.4929323,0.0,1398.0
74200,1.3793745,0.18055664,7.4466314,0.0,1398.0
75600,1.3782634,0.1129086,7.5804925,1.0041999804889201,1072.5
77000,1.3784677,0.17765903,7.436492,0.008000000336323865,1398.0
78400,1.378118,0.09549508,7.718025,2.0014000331575517,1000.0
79800,1.3770113,0.11146125,7.574198,2.0043999607878504,992.0
81200,1.3771123,0.16572309,7.3908486,1.0087000169951352,1166.5
82600,1.3785049,0.17041588,7.383229,0.0,1398.0
84000,1.380307,0.12801693,7.4421673,2.0014000331575517,1307.0
85400,1.38061,0.13078214,7.409215,0.0,1398.0
86800,1.3774773,0.12157372,7.507909,2.0014000331575517,1067.0
88200,1.3733711,0.21309045,7.303238,0.0,1398.0
89600,1.3733741,0.14179859,7.3601303,0.0,1398.0
91000,1.3734564,0.16662996,7.314034,1.0071999806677923,971.0
92400,1.3785281,0.1760625,7.304691,0.0,1398.0
93800,1.3780373,0.18991515,7.347208,0.0,1398.0
95200,1.378276,0.17079459,7.4077997,0.0,1398.0
96600,1.3776245,0.26894337,7.088832,0.0,1398.0
98000,1.3776305,0.3725952,6.6427007,0.0,1398.0
99400,1.3752166,0.29623994,6.872094,0.0,1398.0
100800,1.3720517,0.25434193,6.9432573,0.0,1398.0
102200,1.372737,0.2413504,7.1171207,0.0,1398.0
103600,1.3721758,0.3281092,6.5716443,0.0,1398.0
105000,1.3716253,0.25159034,7.1366262,0.0,1398.0
106400,1.3720491,0.21962136,7.281155,0.0,1398.0
107800,1.3743861,0.23092064,7.169282,0.0,1398.0
109200,1.375708,0.2506591,6.818705,0.0,1398.0
110600,1.375595,0.14579798,7.672311,0.0,1398.0
112000,1.3782649,0.16568387,7.476166,0.0,1398.0
113400,1.3802459,0.1916618,7.2984266,0.0,1398.0
114800,1.3788375,0.21048185,6.983344,0.0,1398.0
116200,1.3810706,0.22439402,6.9103937,2.0174000339611666,969.0
117600,1.3841841,0.19051176,7.3992157,0.0,1398.0
119000,1.3843805,0.1939005,6.942251,0.0,1398.0
120400,1.3841907,0.18103679,7.155512,0.0,1398.0
121800,1.3838136,0.14754039,7.486124,0.0,1398.0
123200,1.3838181,0.19520366,7.4942994,2.0143999612919288,810.0
124600,1.384102,0.19778332,6.7772465,0.0,1398.0
126000,1.3798796,0.15172875,7.5131845,0.0,1398.0
127400,1.3805135,0.2033441,6.686308,0.0,1398.0
128800,1.380063,0.17509052,7.2169504,0.0,1398.0
130200,1.3812643,0.17175494,6.7870455,0.0,1398.0
131600,1.3808469,0.14684936,7.466523,0.0007999999797903001,1398.0
133000,1.381394,0.16769171,6.8124776,0.0,1398.0
134400,1.3833,0.41328675,6.6720266,2.0014000331575517,1198.0
135800,1.3832192,0.1382183,7.301276,0.0,1398.0
137200,1.3831812,0.16008171,7.053104,2.0089999610208906,1359.0
138600,1.3844864,0.29583347,6.9779687,1.0067999806051375,1084.0
140000,1.386055,0.19104488,7.1403346,0.0,1398.0
141400,1.3859936,0.21503413,6.729573,2.018400034023216,1194.0
142800,1.3851504,0.21937984,6.487344,0.0,1398.0
144200,1.3834285,0.33976853,6.640052,2.0014000331575517,1360.0
145600,1.3840629,0.33651018,6.797014,2.0014000331575517,864.0
147000,1.3841863,0.20568687,7.0401,0.0,1398.0
148400,1.3775226,0.21985348,7.1311245,0.0,1398.0
149800,1.3768286,0.18472627,7.073559,0.0,1398.0
151200,1.3761117,0.23705034,6.1322856,0.0,1398.0
152600,1.3669308,0.23475155,6.0553155,0.0,1398.0
154000,1.3677435,0.15560909,7.2899747,1.0101999807957327,1281.0
155400,1.3682022,0.12797615,7.4186563,0.5195999747666065,642.0
156800,1.3688856,0.12137441,7.195826,0.00039999998989515007,1398.0
158200,1.3692126,0.16538285,6.7141743,2.028799961990444,1204.0
159600,1.3690996,0.13858521,7.694116,0.0,1398.0
161000,1.365619,0.117041364,7.1610756,0.0,1398.0
162400,1.3609775,0.1439422,6.0700226,0.0,1398.0
163800,1.3608792,0.17295112,6.898,0.0,1398.0
165200,1.3587472,0.15703869,6.718014,0.0,1398.0
166600,1.3561492,0.12952882,6.3301067,0.0,1398.0
168000,1.3559647,0.15773283,6.9615192,-0.9847999790363247,1018.0
169400,1.3560805,0.05972341,8.327993,0.0,1398.0
170800,1.3565891,0.1218788,7.1632977,0.0007999999797903001,1398.0
172200,1.3568555,0.09317428,6.6927185,0.0,1398.0
173600,1.3598605,0.10302485,6.7660284,0.0,1398.0
175000,1.3630307,0.12282339,7.110162,2.010799961091834,1009.0
176400,1.3628317,0.12937288,8.724863,0.0,1398.0
177800,1.3627776,0.10056758,7.046517,0.0,1398.0
179200,1.3539947,0.08875609,6.534044,0.0,1398.0
180600,1.3519585,0.07789618,6.66334,0.0,1398.0
182000,1.3533497,0.1249235,7.1106424,2.0023999606783036,1390.0
183400,1.3548623,0.2895093,6.9534407,2.0033999969964498,813.5
184800,1.3547149,0.08226897,6.7526407,0.0158000007213559,1398.0
186200,1.3548583,0.08942598,6.8506064,0.0322000015003141,1398.0
