Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
1550,2.1965218,0.08641694,-1.0,6.0,-1.0
1560,2.1965387,0.07724242,-1.0,6.0,-1.0
1570,2.1964939,0.17349075,-1.0,6.0,-1.0
1580,2.196536,0.14265722,-1.0,6.0,-1.0
1590,2.196472,0.073672734,-1.0,6.0,-1.0
1600,2.1963873,0.06876218,-1.0,6.0,-1.0
1610,2.1964743,0.0705534,-1.0,6.0,-1.0
1620,2.1965697,0.13999835,-1.0,6.0,-1.0
1630,2.196494,0.08388671,-1.0,6.0,-1.0
1640,2.1964939,0.11135375,-1.0,6.0,-1.0
1650,2.1965246,0.17933822,-1.0,6.0,-1.0
1660,2.1964998,0.13959204,-1.0,6.0,-1.0
1670,2.1965528,0.08531958,-1.0,6.0,-1.0
1680,2.1965404,0.1442873,-1.0,6.0,-1.0
1690,2.1964316,0.083663754,-1.0,6.0,-1.0
1700,2.196512,0.1313301,-1.0,6.0,-1.0
1710,2.1965325,0.081350744,-1.0,6.0,-1.0
1720,2.1963768,0.10334106,-1.0,6.0,-1.0
1730,2.1964736,0.047280464,-1.0,6.0,-1.0
1740,2.1964915,0.12007892,-1.0,6.0,-1.0
1750,2.1965296,0.07451162,-1.0,6.0,-1.0
1760,2.1964748,0.117371745,-1.0,6.0,-1.0
1770,2.1965075,0.14124651,-1.0,6.0,-1.0
1780,2.1964684,0.14149807,-1.0,6.0,-1.0
1790,2.1965222,0.073814794,-1.0,6.0,-1.0
1800,2.196483,0.123691976,-1.0,6.0,-1.0
1810,2.1964846,0.16310084,-1.0,6.0,-1.0
1820,2.1964817,0.11293444,-1.0,6.0,-1.0
1830,2.196217,0.016881121,-1.0,6.0,-1.0
1840,2.1962318,0.038963094,-1.0,6.0,-1.0
1850,2.196244,0.04994741,-1.0,6.0,-1.0
1860,2.1961725,0.034774426,-1.0,6.0,-1.0
1870,2.1961787,-0.0036999378,-1.0,6.0,-1.0
1880,2.1962535,0.037369005,-1.0,6.0,-1.0
1890,2.1962426,0.04975977,-1.0,6.0,-1.0
1900,2.1961648,0.04278684,-1.0,6.0,-1.0
1910,2.196222,0.022622645,-1.0,6.0,-1.0
1920,2.1961944,0.040193923,-1.0,6.0,-1.0
1930,2.196239,0.055566687,-1.0,6.0,-1.0
1940,2.1962175,0.036583703,-1.0,6.0,-1.0
1950,2.1962237,0.033967663,-1.0,6.0,-1.0
1960,2.196225,0.053078227,-1.0,6.0,-1.0
1970,2.1962335,0.06015749,-1.0,6.0,-1.0
1980,2.1962183,0.04217373,-1.0,6.0,-1.0
1990,2.196207,0.028629245,-1.0,6.0,-1.0
2000,2.1961594,0.03644995,-1.0,6.0,-1.0
2010,2.196181,0.019688733,-1.0,6.0,-1.0
2020,2.1962168,-2.9488001e-05,-1.0,6.0,-1.0
2030,2.1962228,0.03582165,-1.0,6.0,-1.0
2040,2.1961265,0.029972482,-1.0,6.0,-1.0
2050,2.196256,0.029401831,-1.0,6.0,-1.0
2060,2.1962662,0.049576085,-1.0,6.0,-1.0
2070,2.196169,0.043243736,-1.0,6.0,-1.0
2080,2.1961887,0.031976838,-1.0,6.0,-1.0
2090,2.1962247,0.026499137,-1.0,6.0,-1.0
2100,2.1962464,0.0023366888,-1.0,6.0,-1.0
2110,2.1961892,0.033971116,-1.0,6.0,-1.0
2120,2.1961145,0.025954092,-1.0,6.0,-1.0
2130,2.1962714,0.041146096,-1.0,6.0,-1.0
2140,2.196159,0.052123066,-1.0,6.0,-1.0
2150,2.196183,0.0033041432,-1.0,6.0,-1.0
2160,2.1962106,0.04226335,-1.0,6.0,-1.0
2170,2.196238,0.020972418,-1.0,6.0,-1.0
2180,2.1961517,0.0392382,-1.0,6.0,-1.0
2190,2.1962051,0.029350111,-1.0,6.0,-1.0
2200,2.1962526,0.053226814,-1.0,6.0,-1.0
2210,2.1962075,0.04687118,-1.0,6.0,-1.0
2220,2.196254,0.025086032,-1.0,6.0,-1.0
2230,2.1962335,0.03631347,-1.0,6.0,-1.0
2240,2.1960986,0.029100787,-1.0,6.0,-1.0
2250,2.196239,0.020987561,-1.0,6.0,-1.0
2260,2.1961215,0.049442187,-1.0,6.0,-1.0
2270,2.196187,0.00973298,-1.0,6.0,-1.0
2280,2.1962247,0.05153445,-1.0,6.0,-1.0
2290,2.196274,0.052538145,-1.0,6.0,-1.0
2300,2.1962366,0.0565726,-1.0,6.0,-1.0
2310,2.196184,0.037847094,-1.0,6.0,-1.0
2320,2.1961954,0.039524194,-1.0,6.0,-1.0
