Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length
175000,1.3414633,1.0138314,2.0069999278057367,1065.0
176400,1.3414891,1.2338123,0.0,1398.0
177800,1.3430737,0.9695638,0.006000000284984708,1398.0
179200,1.3426281,1.1125079,2.009000093792565,1062.0
180600,1.3474268,0.93901265,2.0069999278057367,946.0
182000,1.3443599,0.9732814,1.0034999639028683,1171.5
183400,1.3443455,0.9154921,2.01100009388756,1072.0
184800,1.3446288,0.95908237,0.0,1398.0
186200,1.3444263,1.0160723,0.0,1398.0
187600,1.346217,0.9630078,0.0,1398.0
189000,1.3464893,0.8897516,2.0069999278057367,1105.0
190400,1.3458483,1.1062349,0.0,1398.0
191800,1.3454167,1.0630429,0.0,1398.0
193200,1.3454216,0.91716874,0.0,1398.0
194600,1.3459133,0.94052255,0.0,1398.0
196000,1.3463913,1.1829599,0.0,1398.0
197400,1.3459318,1.3448234,0.0,1398.0
198800,1.345453,1.2118295,0.0,1398.0
200200,1.345364,1.2403562,0.0,1398.0
201600,1.3450117,1.1791015,0.0,1398.0
203000,1.3455734,0.9931882,0.0,1398.0
204400,1.3460124,1.0983078,2.0069999278057367,1169.0
205800,1.3465631,0.9984218,2.0230000944575295,1365.0
207200,1.3465247,1.1888433,0.0,1398.0
208600,1.3465985,1.0246072,0.0,1398.0
210000,1.3467155,1.007697,2.0069999278057367,1206.0
211400,1.3463186,1.0588313,1.0034999639028683,1311.0
212800,1.3462855,1.0606823,0.0,1398.0
214200,1.348341,1.0044242,0.0,1398.0
215600,1.3483799,0.9335271,0.0,1398.0
217000,1.3482562,0.98292017,0.0,1398.0
218400,1.3488808,1.0462662,2.01100009388756,1102.0
219800,1.3482312,1.0073597,0.0,1398.0
221200,1.3484086,1.0306457,0.0,1398.0
222600,1.349963,0.93526435,2.022000094410032,1107.0
224000,1.350373,1.0650175,0.0,1398.0
225400,1.3493685,0.98123205,0.0,1398.0
226800,1.3506155,0.8545731,2.0069999278057367,997.0
228200,1.3493,0.99992085,0.0,1398.0
229600,1.3494618,0.92505646,0.0,1398.0
231000,1.3469088,1.3922458,0.0,1398.0
232400,1.3467299,1.2995226,0.0,1398.0
233800,1.3467834,1.1595287,0.0,1398.0
235200,1.3466758,1.1771449,0.0,1398.0
236600,1.3466271,1.5505755,0.0,1398.0
238000,1.3466249,1.2208824,0.0,1398.0
239400,1.3453299,1.5358205,-0.48900001239962876,924.5
240800,1.3457104,1.3267655,0.0,1398.0
242200,1.345436,1.2899663,0.0,1398.0
243600,1.3441795,1.37189,0.0,1398.0
245000,1.344524,1.6379378,0.0,1398.0
246400,1.347413,1.4465077,2.0300000947900116,674.0
247800,1.3464103,1.4573493,0.0,1398.0
249200,1.3449802,1.6778817,0.0,1398.0
250600,1.3448503,1.3811047,0.0,1398.0
252000,1.3448311,1.3200506,0.0,1398.0
253400,1.3447692,1.383707,1.0034999639028683,1128.5
254800,1.3449193,1.4272268,0.0,1398.0
256200,1.3412349,1.5123671,0.0,1398.0
257600,1.3421345,1.4683661,0.0,1398.0
259000,1.3419797,1.485647,0.0,1398.0
260400,1.3411359,1.4067887,0.0,1398.0
261800,1.3401804,1.7232839,0.0,1398.0
